cities,name,url,note,point fort,latitude,longitude
Lille,Wonderful and atypical apartment in the heart of Lille - Welkeys,https://www.booking.com/hotel/fr/wonderful-and-atypical-apartment-in-the-heart-of-lille-welkeys.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJGI4ZDFlODQ4LTQxNGItNGQ1Yy1hOWY3LTdjMjg2YmMzN2M4NdgCBeACAQ&sid=35ba9ee5cfa8e2f6f4b5158f069abc98&aid=304142&ucfs=1&arphpl=1&dest_id=-1447079&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=08dc3c8e09800015&srepoch=1697704606&from=searchresults#hotelTmpl,,"['Non-smoking rooms', 'Non-smoking rooms', 'Dining table', 'Coffee machine', 'Toaster', 'Oven', 'Dryer', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Linens', 'Toilet paper', 'Towels', 'Bathtub or shower', 'Private Bathroom', 'Free toiletries', 'Hairdryer', 'Shower', 'Dining area', 'TV', 'Fan', 'Ironing facilities', 'Iron', 'City view', 'Smoke-free property', 'Heating', 'Non-smoking rooms', 'Smoke alarms', 'English', 'French']",50.6433,3.0596
La Rochelle,App. T3 terrasse la Rochelle,https://www.booking.com/hotel/fr/app-t3-terrasse-la-rochelle.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJDUzMDkzYmU5LTE2MmUtNDVkZS04YWM3LWZhNzI3NDBiZTM4OdgCBeACAQ&sid=7851dff4172f93a31398a44f785b9077&aid=304142&ucfs=1&arphpl=1&dest_id=-1438604&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=1aec3c8eed1a00b3&srepoch=1697704605&from=searchresults#hotelTmpl,8.8,"['Free parking', 'Family rooms', 'Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Terrace', 'Free parking', 'Family rooms', 'Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Terrace', 'Shared kitchen', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Linens', 'Wardrobe or closet', 'Walk-in closet', 'Toilet paper', 'Towels', 'Bathtub or shower', 'Free toiletries', 'Hairdryer', 'Dining area', 'Sitting area', 'Desk', 'Flat-screen TV', 'TV', 'Socket near the bed', 'Drying rack for clothing', 'Fold-up bed', 'Tile/Marble floor', 'Private entrance', 'Fan', 'Ironing facilities', 'Iron', 'Entire unit wheelchair accessible', 'Outdoor furniture', 'Beachfront', 'Outdoor dining area', 'Sun deck', 'Balcony', 'Terrace', 'Shared lounge/TV area', 'Tea/Coffee maker', 'Temporary art galleries', 'Beach', 'City view', 'View', 'Private apartment in building', 'Semi-detached', 'Private check-in/out', 'Convenience store on site', 'Designated smoking area', 'Smoke-free property', 'Heating', 'Soundproof rooms', 'Elevator', 'Family rooms', 'Non-smoking rooms', 'Smoke alarms', 'Key card access', 'Key access', 'Carbon monoxide detector', 'English']",46.1708,-1.1227
Mont Saint-Michel,Mercure Mont Saint Michel,https://www.booking.com/hotel/fr/mont-saint-michel.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKX1cOpBsACAdICJGE5MzViZDVhLTQ3MTktNDcyMy1hYmYwLTRiOTVlYjM2NjE1ZtgCBeACAQ&sid=b91217895d5d522cee81b443837fa3b5&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e4733c90a8c101f0&srepoch=1697704611&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.2,"['Private Parking', 'Family rooms', 'Restaurant', 'Facilities for disabled guests', 'Non-smoking rooms', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast', 'Private Parking', 'Family rooms', 'Restaurant', 'Facilities for disabled guests', 'Non-smoking rooms', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast', 'Toilet paper', 'Towels', 'Guest bathroom', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Bathtub', 'Wardrobe or closet', 'Alarm clock', 'Outdoor furniture', 'Sun deck', 'Terrace', 'Garden', 'Electric kettle', 'Refrigerator', 'Clothes rack', 'Tour or class about local culture', 'Walking tours', 'Hiking', 'Desk', 'Flat-screen TV', 'Satellite channels', 'Telephone', 'Wine/Champagne', ""Kids' meals"", 'Special diet meals (on request)', 'Snack bar', 'Breakfast in the room', 'Bar', 'Minibar', 'Restaurant', 'Tea/Coffee maker', 'Accessible parking', 'Public transit tickets', 'Shuttle service', 'Baggage storage', 'Wake-up service', 'Fax/Photocopying', 'Wake-up service/Alarm clock', '24-hour front desk', 'Meeting/Banquet facilities', 'Room service', 'Invoice provided', 'Fire extinguishers', 'Smoke alarms', 'Security alarm', 'Key access', '24-hour security', 'Safe', 'Convenience store on site', 'Designated smoking area', 'Air conditioning', 'Smoke-free property', 'Heating', 'Carpeted', 'Soundproof rooms', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Lowered sink', 'Raised toilet', 'Toilet with grab rails', 'Wheelchair accessible', 'German', 'English', 'Spanish', 'French', 'Italian']",48.6142,-1.5105
La Rochelle,"Appartement La Rochelle, 1 pièce, 2 personnes - FR-1-246-685",https://www.booking.com/hotel/fr/appartement-la-rochelle-1-piece-2-personnes-fr-1-246-685.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJDUzMDkzYmU5LTE2MmUtNDVkZS04YWM3LWZhNzI3NDBiZTM4OdgCBeACAQ&sid=7851dff4172f93a31398a44f785b9077&aid=304142&ucfs=1&arphpl=1&dest_id=-1438604&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1aec3c8eed1a00b3&srepoch=1697704605&from=searchresults#hotelTmpl,,"['Kitchen', 'Microwave', 'Private Bathroom', 'Bathtub', 'TV', 'Smoke-free property', 'German', 'English', 'Spanish', 'French']",46.1395,-1.1702
La Rochelle,Hôtel Le Transatlantique - Lycée Hôtelier La Rochelle,https://www.booking.com/hotel/fr/lycee-hotelier-la-rochelle.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJDUzMDkzYmU5LTE2MmUtNDVkZS04YWM3LWZhNzI3NDBiZTM4OdgCBeACAQ&sid=7851dff4172f93a31398a44f785b9077&aid=304142&ucfs=1&arphpl=1&dest_id=-1438604&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1aec3c8eed1a00b3&srepoch=1697704605&from=searchresults#hotelTmpl,8.7,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Tea/Coffee Maker in All Rooms', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Tea/Coffee Maker in All Rooms', 'Toilet paper', 'Towels', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Wardrobe or closet', 'Alarm clock', 'Ocean view', 'View', 'Electric kettle', 'Socket near the bed', 'Themed dinners', 'Walking tours', 'Snorkeling', 'Diving', 'Bowling', 'Canoeing', 'Windsurfing', 'Fishing', 'Desk', 'Flat-screen TV', 'Radio', 'Telephone', 'TV', 'Wine/Champagne', ""Kids' meals"", 'Breakfast in the room', 'Tea/Coffee maker', 'Street parking', 'Accessible parking', 'Daily housekeeping', 'Private check-in/out', 'Concierge', 'Executive lounge access', 'Meeting/Banquet facilities', 'Fire extinguishers', 'Smoke alarms', 'Security alarm', 'Key access', '24-hour security', 'Safe', 'Smoke-free property', 'Heating', 'Soundproof', 'Soundproof rooms', 'Elevator', 'Non-smoking rooms', 'Upper floors accessible by elevator', 'English', 'Spanish', 'French']",46.1437,-1.1603
La Rochelle,Central Park Hôtel & Spa,https://www.booking.com/hotel/fr/central-park-amp-spa.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJDUzMDkzYmU5LTE2MmUtNDVkZS04YWM3LWZhNzI3NDBiZTM4OdgCBeACAQ&sid=7851dff4172f93a31398a44f785b9077&aid=304142&ucfs=1&arphpl=1&dest_id=-1438604&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1aec3c8eed1a00b3&srepoch=1697704605&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,"['Private Parking', 'Spa', 'Family rooms', 'Free WiFi', 'Fitness center', 'Non-smoking rooms', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast', 'Private Parking', 'Spa', 'Family rooms', 'Free WiFi', 'Fitness center', 'Non-smoking rooms', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast', 'Toilet paper', 'Towels', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Linens', 'Wardrobe or closet', 'Outdoor furniture', 'Terrace', 'Garden', 'Electric kettle', 'Socket near the bed', 'Desk', 'Flat-screen TV', 'Cable channels', 'Satellite channels', 'Radio', 'Telephone', 'Coffee house on site', 'Snack bar', 'Breakfast in the room', 'Bar', 'Minibar', 'Tea/Coffee maker', 'Street parking', 'Electric vehicle charging station', 'Accessible parking', 'Invoice provided', 'Lockers', 'Private check-in/out', 'Concierge', 'Baggage storage', 'Express check-in/out', '24-hour front desk', 'Board games/Puzzles', 'Babysitting/Child services', 'Daily housekeeping', 'Ironing service', 'Dry cleaning', 'Laundry', 'Fax/Photocopying', 'Business center', 'Meeting/Banquet facilities', 'Fire extinguishers', 'CCTV outside property', 'CCTV in common areas', 'Smoke alarms', 'Security alarm', 'Key card access', 'Key access', '24-hour security', 'Safe', 'Shared lounge/TV area', 'Designated smoking area', 'Air conditioning', 'Smoke-free property', 'Wake-up service', 'Heating', 'Soundproof', 'Carpeted', 'Soundproof rooms', 'Elevator', 'Family rooms', 'Ironing facilities', 'Facilities for disabled guests', 'Non-smoking rooms', 'Iron', 'Room service', 'Upper floors accessible by elevator', 'Locker rooms', 'Fitness', 'Spa/Wellness packages', 'Spa facilities', 'Turkish/Steam Bath', 'Hot tub/Jacuzzi', 'Massage', 'Spa', 'Fitness center', 'Sauna', 'English', 'French']",46.1589,-1.1608
La Rochelle,Maisons du Monde Hôtel & Suites - La Rochelle Vieux Port,https://www.booking.com/hotel/fr/inter-saint-jean-d-acre.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJDUzMDkzYmU5LTE2MmUtNDVkZS04YWM3LWZhNzI3NDBiZTM4OdgCBeACAQ&sid=7851dff4172f93a31398a44f785b9077&aid=304142&ucfs=1&arphpl=1&dest_id=-1438604&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=1aec3c8eed1a00b3&srepoch=1697704605&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.3,"['Parking', 'Family rooms', 'Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Facilities for disabled guests', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Very Good Breakfast', 'Parking', 'Family rooms', 'Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Facilities for disabled guests', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Very Good Breakfast', 'Toilet paper', 'Towels', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Bathrobe', 'Hairdryer', 'Linens', 'Wardrobe or closet', 'Beachfront', 'Electric kettle', 'Socket near the bed', 'Live sports events (broadcast)', 'Beach', 'Desk', 'Flat-screen TV', 'Satellite channels', 'Telephone', 'TV', 'Coffee house on site', 'Fruit', 'Wine/Champagne', 'Breakfast in the room', 'Tea/Coffee maker', 'Invoice provided', 'Concierge', 'Baggage storage', 'Express check-in/out', '24-hour front desk', 'Daily housekeeping', 'Ironing service', 'Dry cleaning', 'Laundry', 'Fax/Photocopying', 'Fire extinguishers', 'CCTV outside property', 'CCTV in common areas', 'Smoke alarms', 'Security alarm', 'Key card access', 'Key access', '24-hour security', 'Safe', 'Air conditioning', 'Smoke-free property', 'Heating', 'Soundproof', 'Soundproof rooms', 'Elevator', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Toilet with grab rails', 'Wheelchair accessible', 'Upper floors accessible by elevator', 'English', 'Spanish', 'French']",46.1562,-1.1544
La Rochelle,Hôtel La Monnaie Art & Spa,https://www.booking.com/hotel/fr/de-la-monnaie.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJDUzMDkzYmU5LTE2MmUtNDVkZS04YWM3LWZhNzI3NDBiZTM4OdgCBeACAQ&sid=7851dff4172f93a31398a44f785b9077&aid=304142&ucfs=1&arphpl=1&dest_id=-1438604&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=1aec3c8eed1a00b3&srepoch=1697704605&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,"['Private Parking', 'Family rooms', 'Free WiFi', 'Non-smoking rooms', 'Facilities for disabled guests', 'Room service', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast', 'Private Parking', 'Family rooms', 'Free WiFi', 'Non-smoking rooms', 'Facilities for disabled guests', 'Room service', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast', 'Toilet paper', 'Towels', 'Towels/Sheets (extra fee)', 'Slippers', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Bathrobe', 'Hairdryer', 'Shower', 'Linens', 'Wardrobe or closet', 'Extra long beds (> 6.5 ft)', 'Outdoor furniture', 'Sun deck', 'Garden', 'Electric kettle', 'Socket near the bed', 'Clothes rack', 'Happy hour', 'Walking tours', 'Cycling', 'Canoeing', 'Golf course (within 2 miles)', 'Desk', 'Flat-screen TV', 'Cable channels', 'Satellite channels', 'Telephone', 'TV', 'Coffee house on site', 'Fruit', 'Wine/Champagne', 'Breakfast in the room', 'Bar', 'Minibar', 'Tea/Coffee maker', 'Parking garage', 'Electric vehicle charging station', 'Accessible parking', 'Private check-in/out', 'Baggage storage', 'Express check-in/out', '24-hour front desk', 'Babysitting/Child services', 'Daily housekeeping', 'Ironing service', 'Laundry', 'Fax/Photocopying', 'Business center', 'Meeting/Banquet facilities', 'Fire extinguishers', 'Smoke alarms', 'Security alarm', 'Key card access', 'Key access', '24-hour security', 'Safe', 'Designated smoking area', 'Air conditioning', 'Wake-up service', 'Heating', 'Soundproof', 'Soundproof rooms', 'Elevator', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Room service', 'Toilet with grab rails', 'Wheelchair accessible', 'Full-body massage', 'Neck massage', 'Back massage', 'Massage', 'English', 'Spanish', 'French']",46.1563,-1.1581
La Rochelle,Hôtel Saint Nicolas,https://www.booking.com/hotel/fr/comforthotelsaintnicolas.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKS1cOpBsACAdICJDUzMDkzYmU5LTE2MmUtNDVkZS04YWM3LWZhNzI3NDBiZTM4OdgCBeACAQ&sid=7851dff4172f93a31398a44f785b9077&aid=304142&ucfs=1&arphpl=1&dest_id=-1438604&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=1aec3c8eed1a00b3&srepoch=1697704605&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.5,"['Private Parking', 'Family rooms', 'Free WiFi', 'Fitness center', 'Non-smoking rooms', 'Facilities for disabled guests', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast', 'Private Parking', 'Family rooms', 'Free WiFi', 'Fitness center', 'Non-smoking rooms', 'Facilities for disabled guests', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast', 'Toilet paper', 'Towels', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower', 'Linens', 'Wardrobe or closet', 'Outdoor furniture', 'Sun deck', 'Terrace', 'Coffee machine', 'Electric kettle', 'Socket near the bed', 'Clothes rack', 'Bicycle rental', 'Bike tours', 'Walking tours', 'Desk', 'Flat-screen TV', 'Cable channels', 'Satellite channels', 'Radio', 'Telephone', 'TV', 'Coffee house on site', 'Wine/Champagne', 'Snack bar', 'Breakfast in the room', 'Bar', 'Tea/Coffee maker', 'Parking garage', 'Electric vehicle charging station', 'Accessible parking', 'Invoice provided', 'Concierge', 'Baggage storage', '24-hour front desk', 'Babysitting/Child services', 'Daily housekeeping', 'Ironing service', 'Dry cleaning', 'Fax/Photocopying', 'Meeting/Banquet facilities', 'Fire extinguishers', 'CCTV in common areas', 'Smoke alarms', 'Security alarm', 'Key card access', '24-hour security', 'Safe', 'Grocery deliveries', 'Air conditioning', 'Smoke-free property', 'Wake-up service', 'Heating', 'Packed lunches', 'Carpeted', 'Elevator', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Wake-up service/Alarm clock', 'Room service', 'Raised toilet', 'Toilet with grab rails', 'Wheelchair accessible', 'Upper floors accessible by elevator', 'Fitness', 'Fitness center', 'English', 'Spanish', 'French']",46.1581,-1.1489
Mont Saint-Michel,Hotel Gabriel,https://www.booking.com/hotel/fr/hotel-gabriel.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKX1cOpBsACAdICJGE5MzViZDVhLTQ3MTktNDcyMy1hYmYwLTRiOTVlYjM2NjE1ZtgCBeACAQ&sid=b91217895d5d522cee81b443837fa3b5&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e4733c90a8c101f0&srepoch=1697704611&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,7.9,"['Board games/Puzzles', 'Shuttle service (free)', 'Family rooms', 'Very Good Breakfast', 'Private parking', '24-hour front desk', 'Shared lounge/TV area', 'Facilities for disabled guests', '2 restaurants', 'Toilet with grab rails', 'Board games/Puzzles', 'Shuttle service (free)', 'Family rooms', 'Very Good Breakfast', 'Private parking', '24-hour front desk', 'Shared lounge/TV area', 'Facilities for disabled guests', '2 restaurants', 'Toilet with grab rails', 'Towels', 'Toilet', 'Free toiletries', 'Hairdryer', 'Clothes rack', 'Desk', 'Flat-screen TV', 'Satellite channels', 'Telephone', 'TV', ""Kids' meals"", 'Restaurant', 'Tea/Coffee maker', 'Electric vehicle charging station', 'Accessible parking', 'Invoice provided', 'Concierge', 'Express check-in/out', '24-hour front desk', 'Board games/Puzzles', 'Fax/Photocopying', 'Fire extinguishers', 'CCTV outside property', 'Smoke alarms', 'Security alarm', 'Key card access', '24-hour security', 'Shuttle service', 'Shared lounge/TV area', 'Smoke-free property', 'Wake-up service', 'Heating', 'Private entrance', 'Carpeted', 'Family rooms', 'Facilities for disabled guests', 'Non-smoking rooms', 'Room service', 'Lowered sink', 'Raised toilet', 'Toilet with grab rails', 'Wheelchair accessible', 'German', 'English', 'Spanish', 'French']",48.6154,-1.5107
Rouen,La p'tite Maison - ARMADA à proximité,https://www.booking.com/hotel/fr/la-p-tite-maison-rouen.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKh1cOpBsACAdICJDgzOWVmMTA3LWQzNTUtNGJkYS1hNzc1LTdlNTMzYTM1ZDBiYtgCBeACAQ&sid=df032640565db697ddff2aec11794fc2&aid=304142&ucfs=1&arphpl=1&dest_id=-1462807&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5ccb3c937a4a03a0&srepoch=1697704615&from=searchresults#hotelTmpl,,"['Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Oven', 'Kitchenware', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Wardrobe or closet', 'Walk-in closet', 'Toilet paper', 'Guest bathroom', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Hairdryer', 'Shower', 'Sofa', 'Sitting area', 'Desk', 'Flat-screen TV', 'TV', 'Socket near the bed', 'Drying rack for clothing', 'Clothes rack', 'Tile/Marble floor', 'Private entrance', 'Heating', 'Ironing facilities', 'Iron', 'Upper floors accessible by stairs only', 'Outdoor dining area', 'Outdoor furniture', 'Terrace', 'Inner courtyard view', 'Detached', 'Board games/puzzles', 'Smoke-free property', 'Family rooms', 'Non-smoking rooms', 'Smoke alarms', 'French']",49.4483,1.0746
Mont Saint-Michel,Le Mouton Blanc,https://www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKX1cOpBsACAdICJGE5MzViZDVhLTQ3MTktNDcyMy1hYmYwLTRiOTVlYjM2NjE1ZtgCBeACAQ&sid=b91217895d5d522cee81b443837fa3b5&aid=304142&ucfs=1&arphpl=1&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e4733c90a8c101f0&srepoch=1697704611&from=searchresults#hotelTmpl,7.1,"['Good Breakfast', 'Family rooms', 'Bar', 'Shuttle service (free)', 'Tour or class about local culture', 'Restaurant', 'Bike tours', 'Pet friendly', 'Heating', 'Hiking', 'Good Breakfast', 'Family rooms', 'Bar', 'Shuttle service (free)', 'Tour or class about local culture', 'Restaurant', 'Bike tours', 'Pet friendly', 'Heating', 'Hiking', 'Towels', 'Bathtub or shower', 'Private Bathroom', 'Toilet', 'Free toiletries', 'Shower', 'Linens', 'Wardrobe or closet', 'Sun deck', 'Tour or class about local culture', 'Bike tours', 'Walking tours', 'Horseback riding', 'Cycling', 'Hiking', 'Fishing', 'Desk', 'Flat-screen TV', 'Cable channels', ""Kids' meals"", 'Special diet meals (on request)', 'Bar', 'Restaurant', 'Shuttle service', 'Daily housekeeping', 'Fire extinguishers', 'Smoke alarms', 'Security alarm', 'Smoke-free property', 'Heating', 'Carpeted', 'Family rooms', 'Non-smoking rooms', 'English', 'French']",48.636,-1.5099
Rouen,Appart Hypercentre LaJardinière,https://www.booking.com/hotel/fr/appart-hypercentre-lajardiniere.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKh1cOpBsACAdICJDgzOWVmMTA3LWQzNTUtNGJkYS1hNzc1LTdlNTMzYTM1ZDBiYtgCBeACAQ&sid=df032640565db697ddff2aec11794fc2&aid=304142&ucfs=1&arphpl=1&dest_id=-1462807&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5ccb3c937a4a03a0&srepoch=1697704615&from=searchresults#hotelTmpl,10.0,"['Free WiFi', 'Non-smoking rooms', 'Free WiFi', 'Non-smoking rooms', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Microwave', 'Refrigerator', 'Kitchenette', 'Linens', 'Toilet paper', 'Towels', 'Towels/Sheets (extra fee)', 'Private Bathroom', 'Toilet', 'Hairdryer', 'Shower', 'Dining area', 'Desk', 'Streaming service (like Netflix)', 'Flat-screen TV', 'TV', 'Socket near the bed', 'Drying rack for clothing', 'Hardwood or parquet floors', 'Heating', 'Fan', 'Upper floors accessible by stairs only', 'Entire unit located on ground floor', 'Outdoor dining area', 'Outdoor furniture', 'Terrace', 'Patio', 'Garden', 'Tea/Coffee maker', 'Garden view', 'Private apartment in building', 'Semi-detached', 'Books, DVDs or music for children', 'Smoke-free property', 'Non-smoking rooms', 'Carbon monoxide detector', 'English', 'French']",49.4472,1.0854
Rouen,SPACIEUX DUPLEX PRES DES QUAIS DE SEINE LINGE MAISON TOUT FOURNI v,https://www.booking.com/hotel/fr/spacieux-duplex-pret-des-quais-de-seine.html?label=gen173nr-1FEgZzZWFyY2goggI46AdIM1gEaKYCiAEBmAExuAEYyAEP2AEB6AEB-AECiAIBqAIEuAKh1cOpBsACAdICJDgzOWVmMTA3LWQzNTUtNGJkYS1hNzc1LTdlNTMzYTM1ZDBiYtgCBeACAQ&sid=df032640565db697ddff2aec11794fc2&aid=304142&ucfs=1&arphpl=1&dest_id=-1462807&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5ccb3c937a4a03a0&srepoch=1697704615&from=searchresults#hotelTmpl,9.4,"['Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'High chair', 'Dining table', 'Coffee machine', 'Cleaning products', 'Toaster', 'Stovetop', 'Oven', 'Dryer', 'Kitchenware', 'Electric kettle', 'Kitchen', 'Washing machine', 'Dishwasher', 'Microwave', 'Refrigerator', 'Linens', 'Wardrobe or closet', 'Alarm clock', 'Walk-in closet', 'Extra long beds (> 6.5 ft)', 'Toilet paper', 'Towels', 'Towels/Sheets (extra fee)', 'Bathtub or shower', 'Toilet', 'Hairdryer', 'Bathtub', 'Dining area', 'Sofa', 'Sitting area', 'Streaming service (like Netflix)', 'Flat-screen TV', 'Cable channels', 'Satellite channels', 'Video', 'Radio', 'TV', 'Pay-per-view channels', 'Socket near the bed', 'Drying rack for clothing', 'Fold-up bed', 'Clothes rack', 'Hardwood or parquet floors', 'Private entrance', 'Heating', 'Ironing facilities', 'Iron', 'Balcony', 'Temporary art galleries', 'Smoke-free property', 'Family rooms', 'Non-smoking rooms', 'English', 'French', 'Portuguese']",49.4321,1.0824
